Sample in Buffer,Sample in Window,TRIGGER,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe0_1[15:0],bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe1_1[3:0],bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe2_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe3_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe4_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/probe5_1,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tdata[63:0],bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tuser,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tvalid,bajie7020_i/rfb_fir/rfb_fir_out/system_ila_1/inst/net_slot_0_axis_tlast,Interface_(i1:s0)_(firoutmixer_0_M_AXIS)[2:0],T_Channel_(i1:s0)_(firoutmixer_0_M_AXIS)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0229,0,1,1,0,0,01688a5a00271664,0,1,0,"_","_"
1,1,0,022a,0,1,1,0,0,019904eb003ffcea,0,1,0,"Active","Stream Beat"
2,2,0,022b,0,1,1,0,0,0190e204001f5b9c,0,1,0,"Active","Stream Beat"
3,3,0,022c,0,1,1,0,0,0110b650fff8a005,0,1,0,"Active","Stream Beat"
4,4,0,022d,0,1,1,0,0,007c53aaffe8133a,0,1,0,"Active","Stream Beat"
5,5,0,022e,0,1,1,0,0,0061e703ffd5d286,0,1,0,"Active","Stream Beat"
6,6,0,022f,0,1,1,0,0,00c93626ffa7d72d,0,1,0,"Active","Stream Beat"
7,7,0,0230,0,1,1,0,0,01505d06ff88fe41,0,1,0,"Active","Stream Beat"
8,8,0,0231,0,1,1,0,0,0159dcfaff9b2a38,0,1,0,"Active","Stream Beat"
9,9,0,0232,0,1,1,0,0,00dfa7edffc2b8a2,0,1,0,"Active","Stream Beat"
10,10,0,0233,0,1,1,0,0,0069d1e9ffd2bb6c,0,1,0,"Active","Stream Beat"
11,11,0,0234,0,1,1,0,0,00572ae2ffcfe057,0,1,0,"Active","Stream Beat"
12,12,0,0235,0,1,1,0,0,007cd4ccffe0eef6,0,1,0,"Active","Stream Beat"
13,13,0,0236,0,1,1,0,0,00851698002992c6,0,1,0,"Active","Stream Beat"
14,14,0,0237,0,1,1,0,0,006cb5d700769210,0,1,0,"Active","Stream Beat"
15,15,0,0238,0,1,1,0,0,00ac6506006cca47,0,1,0,"Active","Stream Beat"
16,16,0,0239,0,1,1,0,0,015a56d8000a1031,0,1,0,"Active","Stream Beat"
17,17,0,023a,0,1,1,0,0,01c82b9bffbeda78,0,1,0,"Active","Stream Beat"
18,18,0,023b,0,1,1,0,0,01cbe8caff9928e3,0,1,0,"Active","Stream Beat"
